obs	hh_code	round	year	state	age	edu	off_incUS	hhexpend_pc	hhsize_ae	area_ha	cotarea_ha	bt	bt_ha	kcal_tot	kcal_nutr
1	1	1	2002	1	40	15	193.4236	785.4442	6.7	6.0705	1.41645	1	0.4047	4252	1554.402
2	1	2	2004	1	42	15	2210.555	361.0505	12.1	6.0705	3.2376	1	3.2376	3405	602.8553
3	1	3	2006	1	44	15	552.6389	491.1221	9.2	6.4752	2.8329	1	2.8329	3398	578.6755
4	1	4	2008	1	46	15	921.0648	689.5914	13.9	6.0705	2.8329	1	2.8329	3926	476.3335
5	2	1	2002	1	32	10	3684.259	1257.267	3.8	6.0705	4.047	1	0.8094	4333	866.5029
6	2	2	2004	1	34	10	1473.704	649.2133	9.3	14.1645	6.0705	1	6.0705	3645	1020.911
7	2	3	2006	1	36	10	5526.389	507.3353	9.8	12.141	6.0705	1	6.0705	3253	622.1493
8	2	4	2008	1	38	10	1105.278	467.5858	4.1	3.2376	0.8094	1	0.8094	2236	770.6008
9	3	1	2002	1	45	10	0	359.7391	4.3	4.4517	0.4047	1	0.4047	3652	537.2404
10	3	2	2004	1	47	10	276.3194	254.593	5.2	4.047	1.6188	1	1.2141	3544	507.505
11	3	3	2006	1	49	10	221.0555	344.2995	5	4.047	1.6188	1	1.6188	3117	800.9427
12	3	4	2008	1	51	10	1105.278	448.4207	3.6	4.047	0.60705	1	0.60705	2928	831.6838
13	4	1	2002	1	35	12	3315.833	492.9914	6.7	8.9034	1.2141	1	1.2141	3788	765.2245
14	4	2	2004	1	37	12	0	188.256	6.5	2.4282	0.8094	0	0	2042	372.7124
15	5	1	2002	1	55	0	331.5833	455.7058	3.8	10.9269	2.8329	0	0	3174	939.7721
16	5	2	2004	1	57	0	552.6389	483.7653	4.6	6.8799	3.43995	1	2.0235	3535	867.603
17	6	1	2002	1	52	9	0	179.6159	4.4	1.01175	0.4047	0	0	2959	1191.272
18	6	2	2004	1	54	9	552.6389	282.609	5.2	1.01175	1.01175	0	0	3396	755.6125
19	6	3	2006	1	56	9	73.68518	493.9735	6.3	1.6188	0.8094	1	0.8094	4130	1273.519
20	6	4	2008	1	58	9	368.4259	537.0602	5	1.82115	0.8094	1	0.8094	3562	890.9577
21	7	1	2002	1	40	9	0	333.2967	4.6	4.8564	1.2141	0	0	2904	724.5617
22	7	2	2004	1	42	9	276.3194	351.7781	4.3	8.094	4.047	1	2.0235	3550	1294.569
23	7	3	2006	1	44	9	828.9583	762.6265	4.2	6.0705	3.2376	1	2.0235	3445	715.8317
24	7	4	2008	1	46	9	1547.389	753.4219	4	6.0705	3.2376	1	3.2376	3541	791.1795
25	8	1	2002	1	56	2	340.7939	139.3165	6.2	2.0235	0.4047	0	0	3404	568.1288
26	8	2	2004	1	58	2	921.0648	378.6873	6.6	2.63055	0.8094	1	0.8094	3330	976.1981
27	8	3	2006	1	60	2	6447.453	205.5218	11.1	2.63055	1.2141	1	1.2141	2262	881.6929
28	8	4	2008	1	62	2	1326.333	359.2478	8.7	3.2376	2.4282	1	2.4282	3702	544.2683
29	9	1	2002	1	45	15	0	193.5166	6.3	16.9974	2.0235	0	0	1766	105.5554
30	9	2	2004	1	47	15	552.6389	357.4027	6.1	2.4282	0.8094	1	0.8094	2608	538.0217
31	9	3	2006	1	49	15	3684.259	532.2689	7.5	16.188	4.047	1	4.047	2946	601.5085
32	9	4	2008	1	51	15	552.6389	301.4039	8.8	4.8564	1.01175	1	1.01175	3956	296.8947
33	10	1	2002	1	28	3	5526.389	569.7169	4.2	7.2846	2.4282	0	0	3912	256.333
34	10	2	2004	1	30	3	1750.023	282.1783	9.7	8.094	2.8329	1	1.6188	3440	265.8239
35	10	3	2006	1	32	3	921.0648	544.6368	11.8	8.094	3.6423	1	3.6423	3322	810.1715
36	10	4	2008	1	34	3	884.2222	407.997	9.1	6.0705	4.047	1	4.047	3627	363.3024
